ts,payload_json,error
2025-12-10T15:22:19.248636,"{""score"": 0.9010686298955884, ""ear"": 0.23892066247693663, ""timestamp"": ""2025-12-10T15:22:19.248636"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.280644,"{""score"": 0.9050350595954306, ""ear"": 0.23915740805155586, ""timestamp"": ""2025-12-10T15:22:19.280644"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.308899,"{""score"": 0.9019589405022422, ""ear"": 0.2405030520035195, ""timestamp"": ""2025-12-10T15:22:19.308899"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.446944,"{""score"": 0.9298413629703777, ""ear"": 0.24155313443384988, ""timestamp"": ""2025-12-10T15:22:19.446944"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.479269,"{""score"": 0.9406605300025009, ""ear"": 0.24633691615081568, ""timestamp"": ""2025-12-10T15:22:19.479269"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.510982,"{""score"": 0.8863768354654313, ""ear"": 0.2518252698881232, ""timestamp"": ""2025-12-10T15:22:19.510982"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.542883,"{""score"": 0.877275929046327, ""ear"": 0.25697439840902786, ""timestamp"": ""2025-12-10T15:22:19.542883"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.577238,"{""score"": 0.9390289298296078, ""ear"": 0.26230306840877676, ""timestamp"": ""2025-12-10T15:22:19.577238"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.607576,"{""score"": 0.9310914101406002, ""ear"": 0.2645593494019972, ""timestamp"": ""2025-12-10T15:22:19.607576"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.636802,"{""score"": 0.9305607197393799, ""ear"": 0.2664161135802807, ""timestamp"": ""2025-12-10T15:22:19.636802"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.667537,"{""score"": 0.9270874333610688, ""ear"": 0.26841103466114513, ""timestamp"": ""2025-12-10T15:22:19.667537"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.703205,"{""score"": 0.9043607380748262, ""ear"": 0.27095517636942185, ""timestamp"": ""2025-12-10T15:22:19.703205"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.744588,"{""score"": 0.8511452246631193, ""ear"": 0.27433237029156204, ""timestamp"": ""2025-12-10T15:22:19.744588"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.779400,"{""score"": 0.8887837475740884, ""ear"": 0.2775726204535202, ""timestamp"": ""2025-12-10T15:22:19.779400"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.821982,"{""score"": 0.8738390955342696, ""ear"": 0.2809297708043683, ""timestamp"": ""2025-12-10T15:22:19.821982"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.850896,"{""score"": 0.9034029877454608, ""ear"": 0.28348588180345574, ""timestamp"": ""2025-12-10T15:22:19.850896"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.976600,"{""score"": 0.8959778295540335, ""ear"": 0.28635493795486827, ""timestamp"": ""2025-12-10T15:22:19.976600"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:20.105052,"{""score"": 0.9245028263890568, ""ear"": 0.2887816723260783, ""timestamp"": ""2025-12-10T15:22:20.105052"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:20.147182,"{""score"": 0.9264276060091897, ""ear"": 0.2910527807478323, ""timestamp"": ""2025-12-10T15:22:20.147182"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:20.180609,"{""score"": 0.9279857451340883, ""ear"": 0.2930474788662392, ""timestamp"": ""2025-12-10T15:22:20.180609"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:20.213850,"{""score"": 0.9333441918649211, ""ear"": 0.29455689709539856, ""timestamp"": ""2025-12-10T15:22:20.213850"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:20.254305,"{""score"": 0.9236189595702922, ""ear"": 0.2969123657326184, ""timestamp"": ""2025-12-10T15:22:20.254305"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
